Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.10293,0.34988,-0.50363,0.062356,0.27038,0.23271,-0.42951,0.099338,0.045003,d
0.043885,0.25334,-0.52063,0.060285,0.31464,0.15568,-0.37893,0.098619,0.0080528,d
0.080663,0.29581,-0.71888,0.012111,0.098141,0.24821,-0.53575,0.021866,0.043671,b
0.16859,0.41528,-0.56024,0.083344,0.387,0.39206,-0.35127,0.13784,0.10332,d
0.021424,0.17521,-0.71096,0.0067931,0.065382,0.079141,-0.63798,0.016408,0.0054644,c
0.080416,0.31909,-0.76116,0.032603,0.13392,0.16671,-0.60784,0.050211,0.02957,b
0.0030527,0.056821,-0.79421,0.00090594,0.01486,0.048969,-0.708,0.0021834,0.0017382,d
0.19787,0.45223,-0.63859,0.029303,0.14363,0.40919,-0.48734,0.038039,0.11969,d
0.11339,0.36103,-0.5358,0.038297,0.2044,0.28275,-0.47994,0.061382,0.054264,d
0.28585,0.59301,-0.45348,0.22923,0.53869,0.3178,-0.3325,0.25226,0.11386,d
0.095132,0.30565,-0.61273,0.028761,0.20329,0.27069,-0.41506,0.054455,0.061106,d
0.070939,0.28477,-0.5494,0.035374,0.23256,0.2327,-0.42002,0.067974,0.034407,d
0.012506,0.13016,-0.66568,0.002169,0.029531,0.081993,-0.6197,0.0049573,0.0033694,d
0.59943,0.70202,-0.58154,0.07234,0.34088,0.7301,-0.36113,0.10638,0.48024,d
0.41979,0.71685,-0.50242,0.19014,0.52582,0.47138,-0.354,0.26479,0.17928,d
0.29455,0.59954,-0.59108,0.060315,0.27391,0.44881,-0.42011,0.087302,0.11882,d
0.25016,0.56029,-0.50406,0.1375,0.48217,0.39017,-0.32943,0.20927,0.10327,d
0.16539,0.39641,-0.53184,0.038805,0.251,0.2948,-0.42072,0.074673,0.11171,d
0.19148,0.43482,-0.72035,0.032104,0.1489,0.34803,-0.5283,0.050642,0.12351,b
0.13848,0.38514,-0.67593,0.067666,0.22874,0.288,-0.48988,0.1048,0.077811,b
0.028249,0.1866,-0.57201,0.0097537,0.078526,0.13827,-0.59146,0.01623,0.011106,c
0.076588,0.31755,-0.73868,0.017415,0.12201,0.18229,-0.60367,0.057331,0.024742,c
0.093018,0.33396,-0.53943,0.028116,0.17827,0.26603,-0.46638,0.050619,0.040923,d
0.11065,0.3892,-0.76126,0.045939,0.18554,0.19825,-0.62512,0.071743,0.029496,b
0.056048,0.28401,-0.58339,0.03611,0.18575,0.1842,-0.44004,0.047235,0.013226,d
0.01374,0.12783,-0.60457,0.0056743,0.069467,0.088802,-0.5654,0.014325,0.0060106,d
0.20034,0.36089,-0.64232,0.020762,0.15173,0.46604,-0.49335,0.039203,0.20106,d
0.083742,0.27485,-0.59631,0.021877,0.14644,0.24289,-0.50445,0.038495,0.060544,c
0.27931,0.43426,-0.64427,0.048037,0.2069,0.47076,-0.45687,0.060366,0.27088,d
